Year,Title,Subject,Actor,Actress,Director
1990,"Final Alliance, The",Action,"Hasselhoff, David",,"Di Leo, Mario"
1984,"Bounty, The",Drama,"Gibson, Mel",,"Donaldson, Roger"
1974,"Little Prince, The",Music,"Kiley, Richard",,"Donen, Stanley"
1975,Posse,Western,"Douglas, Kirk",,"Douglas, Kirk"
1982,Firefox,Action,"Eastwood, Clint",,"Eastwood, Clint"
1987,Penitentiary III,Action,"Kennedy, Leon Isaac",,"Fanaka, Jamaa"
1993,Ginger & Fred,Comedy,"Mastroianni, Marcello",,"Fellini, Federico"
1966,"Wrong Box, The",Comedy,"Mills, John",,"Forbes, Bryan"
1990,Wagonmaster,Western,"Johnson, Ben",,"Ford, John"
1945,They Were Expendable,War,"Montgomery, Robert",,"Ford, John"
1991,"Last Hurrah, The",Drama,"Tracy, Spencer",,"Ford, John"
1949,Law of the Golden West,Western,"Hale, Monte",,"Ford, Philip"
1949,Pioneer Marshal,Western,"Hale, Monte",,"Ford, Philip"
1949,Ranger of the Cherokee Strip,Western,"Hale, Monte",,"Ford, Philip"
1950,Vanishing Westerner,Western,"Hale, Monte",,"Ford, Philip"
1948,Bandits of Dark Canyon,Western,"Lane, Allan",,"Ford, Philip"
1948,"Bold Frontiersman, The",Western,"Lane, Allan",,"Ford, Philip"
1948,"Wild Frontier, The",Western,"Lane, Allan",,"Ford, Philip"
1968,"Firemen's Ball, The",Comedy,"Vostrcil, Jan",,"Forman, Milos"
1983,Local Hero,Comedy,"Riegert, Peter",,"Forsyth, Bill"
1971,"French Connection, The",Drama,"Hackman, Gene",,"Friedkin, William"
1985,To Live & Die in L. A.,Action,"Stockwell, Dean",,"Friedkin, William"
1961,Ferry to Hong Kong,Drama,"Welles, Orson",,"Gilbert, Lewis"
1983,"Eddie Murphy, Delirious",Comedy,"Murphy, Eddie",,"Gower, Bruce"
1984,"Secret Policeman's Private Parts, The",Comedy,"Cleese, John",,"Graef, Roger"
1958,Up the Creek,Comedy,"Sellers, Peter",,"Guest, Val"
1982,Yol,Drama,"Akan, Tarik",,"Guney, Yilmaz"
1989,Sara Dane,Drama,"Hopkins, Harold",,"Hardy, Rod"
1988,Night Tide,Drama,"Muir, Gavin",,"Harrington, Curtis"
1953,His Majesty O'Keefe,Action,"Lancaster, Burt",,"Haskin, Byron"
1960,North to Alaska,Western,"Wayne, John",,"Hathaway, Henry"
1966,Flight to Fury,Action,"Nicholson, Jack",,"Hellman, Monte"
1966,Ride in the Whirlwind,Western,"Nicholson, Jack",,"Hellman, Monte"
1970,Powderkeg,Western,"Taylor, Rod",,"Heyes, Douglas"
1953,I Confess,Drama,"Clift, Montgomery",,"Hitchcock, Alfred"
1935,"Thirty-Nine Steps, The",Science Fiction,"Donat, Robert",,"Hitchcock, Alfred"
1969,Topaz,Mystery,"Forsythe, John",,"Hitchcock, Alfred"
1930,Murder,Mystery,"Marshall, Herbert",,"Hitchcock, Alfred"
1954,Dial M for Murder,Mystery,"Milland, Ray",,"Hitchcock, Alfred"
1937,Young & Innocent,Mystery,"Pilbeam, Nova",,"Hitchcock, Alfred"
1976,Creature from Black Lake,Horror,"Elam, Jack",,"Houck, Joy, Jr."
1981,Chariots of Fire,Drama,"Cross, Ben",,"Hudson, Hugh"
1982,Monty Python Live at the Hollywood Bowl,Comedy,"Chapman, Graham",,"Hughes, Terry"
1975,"Man Who Would Be King, The",Drama,"Connery, Sean",,"Huston, John"
1981,Victory,Drama,"Stallone, Sylvester",,"Huston, John"
1970,Kelly's Heroes,War,"Eastwood, Clint",,"Hutton, Brian G."
1989,Next of Kin,Mystery,"Swayze, Patrick",,"Irvin, John"
1990,Chattahoochee,Drama,"Oldman, Gary",,"Jackson, Mick"
