Year,Title,Subject,Actor,Actress,Director
1986,Steve Martin Live!,Comedy,"Martin, Steve",,
1974,"Steve Martin, The Funnier Side of Eastern Canada",Comedy,"Martin, Steve",,
1993,"Runaway Barge, The",Action,"Matheson, Tim",,
1992,Romulus & the Sabines,Action,"Moore, Roger",,
1989,"Saint, The",Mystery,"Moore, Roger",,
1983,Strange Brew,Comedy,"Moranis, Rick",,
1990,Another Forty-Eight Hours,Action,"Murphy, Eddie",,
1989,"Best of Eddie Murphy, Saturday Night Live, The",Comedy,"Murphy, Eddie",,
1991,What about Bob?,Comedy,"Murray, Bill",,
1953,"Mummy's Revenge, The",Horror,"Naschy, Paul",,
1992,Harper,Mystery,"Newman, Paul",,
1992,"Left Handed Gun, The",Western,"Newman, Paul",,
1989,Once upon a Wheel,Action,"Newman, Paul",,
1992,"Prize, The",Drama,"Newman, Paul",,
1968,"Secret War of Harry Frigg, The",Comedy,"Newman, Paul",,
1990,"Two Jakes, The",Mystery,"Nicholson, Jack",,
1989,Exile in Concert,Music,"Pennington, J. P.",,
1987,Joe Piscopo New Jersey Special,Comedy,"Piscopo, Joe",,
1991,"Joe Piscopo Video, The",Comedy,"Piscopo, Joe",,
1989,"Death Valley Days, No Gun Behind His Badge",Western,"Reagan, Ronald",,
1988,Salsa: The Motion Picture,Drama,"Rosa, Robby",,
1991,Hollywood's Greatest War Movies,War,"Scott, George C.",,
1991,Out for Justice,Action,"Seagal, Steven",,
1956,"Case of the Mukkinese Battle Horn, The",Comedy,"Sellers, Peter",,
1953,"Goon Show Movie, The",Comedy,"Sellers, Peter",,
1975,"Great McGonagall, The",Comedy,"Sellers, Peter",,
1991,I'm All Right Jack,Comedy,"Sellers, Peter",,
1991,"Magic Christian, The",Comedy,"Sellers, Peter",,
1960,Never Let Go,Action,"Sellers, Peter",,
1991,"Pink Panther, The",Comedy,"Sellers, Peter",,
1991,Two-Way Stretch,Comedy,"Sellers, Peter",,
1988,"Face at the Window, The",Horror,"Slaughter, Tod",,
1958,Tom Thumb,Science Fiction,"Tamblyn, Russ",,
1989,Beartooth,Action,"Taylor, Dub",,
1979,James Taylor in Concert,Music,"Taylor, James",,
1942,Gangbusters,Drama,"Taylor, Kent",,
1992,El Rublo de las Dos Caras,Action,"Taylor, Robert",,
1992,"Law & Jake Wade, The",Drama,"Taylor, Robert",,
1967,Chuka,Western,"Taylor, Rod",,
1980,Cry of the Innocent,Drama,"Taylor, Rod",,
1991,Edison the Man,Drama,"Tracy, Spencer",,
1991,Keeper of the Flame,Drama,"Tracy, Spencer",,
1991,"Spencer Tracy Legacy, The",Comedy,"Tracy, Spencer",,
1957,"Cheyenne, The Iron Trail",Western,"Walker, Clint",,
1992,"Dawn Rider, The",Western,"Wayne, John",,
1993,"Duke, The Films of John Wayne",Western,"Wayne, John",,
1939,Frontier Horizon,Western,"Wayne, John",,
1934,Hell Town,Western,"Wayne, John",,
1932,Hurricane Express,Western,"Wayne, John",,
1932,"Hurricane Express, The",Action,"Wayne, John",,
1965,In Harm's Way,War,"Wayne, John",,
1991,"John Wayne Collection, Red River, The",War,"Wayne, John",,
1992,John Wayne Collector's Limited Edition,War,"Wayne, John",,
1991,John Wayne Four Pack,Western,"Wayne, John",,
1939,"John Wayne Matinee Double Feature, No. 2",Western,"Wayne, John",,
1939,"John Wayne Matinee Double Feature, No. 3",Western,"Wayne, John",,
1938,"John Wayne Matinee Double Feature, No. 4",Western,"Wayne, John",,
1990,John Wayne Six Pack,Western,"Wayne, John",,
1991,"John Wayne Western Greats, Rio Bravo",Western,"Wayne, John",,
1991,King of the Pecos,Western,"Wayne, John",,
1992,Lawless Frontier,Western,"Wayne, John",,
1991,"Lawless Frontier, The",Western,"Wayne, John",,
1991,"Lawless Nineties, The",Western,"Wayne, John",,
1934,Lucky Texan,Western,"Wayne, John",,
1992,McQ,Action,"Wayne, John",,
1993,Neath Arizona Skies,Western,"Wayne, John",,
1991,Neath the Arizona Skies,Western,"Wayne, John",,
1991,Randy Rides Alone,Western,"Wayne, John",,
1993,Range Feud,Western,"Wayne, John",,
1992,Red River,Western,"Wayne, John",,
1991,Riders of Destiny,Western,"Wayne, John",,
1990,Sagebrush Trail,Western,"Wayne, John",,
1932,"Shadow of the Eagle, The",Action,"Wayne, John",,
1989,Blood & Guns,Action,"Welles, Orson",,
1988,Hot Money,Drama,"Welles, Orson",,
1977,Comedy Tonight,Comedy,"Williams, Robin",,
1991,Robin Williams,Comedy,"Williams, Robin",,
